County Name,FIPS Code,% < 9th,% No HS Diploma,% HS Grad or Equiv,"% Some College, No Degree",% Associates,% Bachelors,% Grad or Professional
"Corozal Municipio, Puerto Rico",72047,13.557381272722068,8.9914980104772,22.04792030458306,14.482008416110842,6.478115249191309,9.269172415767327,2.530558497695589
"Maunabo Municipio, Puerto Rico",72095,17.340886961140125,8.51553509781358,20.0938302204125,13.941754448083563,7.1257856067982654,10.648844826060017,1.7438257944587061
"Peñuelas Municipio, Puerto Rico",72111,11.287567517658465,8.360648169521259,22.51050274687226,10.69664373759291,8.540695258759984,11.656894880199436,2.5806749457550437
"Ponce Municipio, Puerto Rico",72113,10.713206102255093,6.497249148545979,23.762788604287163,12.609580621108,6.215110537877108,13.691111962005333,4.9495173414481775
"San Sebastián Municipio, Puerto Rico",72131,19.64331537079805,6.299717731588402,19.925583782396718,13.582242750833975,6.117526302283808,11.270207852193996,2.2427508339748523
"Toa Alta Municipio, Puerto Rico",72135,8.088284862948132,5.575105502298804,19.6699429680864,14.634146341463413,7.654141218029095,16.780595666653184,4.538284188812038
"Toa Baja Municipio, Puerto Rico",72137,8.428056895183445,7.241316158964654,22.434527806605214,15.46792015139491,7.478175935535071,13.262926561259997,4.213417984250046
"Vieques Municipio, Puerto Rico",72147,10.693091479117681,8.308140185869444,28.630612473407236,6.628597021610122,6.505430522897772,13.089239726794311,5.094614264919942
"Yabucoa Municipio, Puerto Rico",72151,15.69735902926481,7.571734475374732,18.73518915060671,14.923625981441827,9.304782298358315,10.06423982869379,2.4982155603140614
"Aguada Municipio, Puerto Rico",72003,16.848239168989107,8.287306815302761,17.780592855333165,10.823410184950594,11.266784899923993,10.833544464149988,4.17532303014948
"Caguas Municipio, Puerto Rico",72025,8.86578435826587,5.649107388898406,21.657270107023958,13.475932642679995,7.95567107820867,15.330418786168066,6.0579880687277035
"Canóvanas Municipio, Puerto Rico",72029,11.911327732529555,6.994591590243485,24.425490070330707,11.364073622779452,7.597426195515082,11.08617114517198,3.7367194681374123
"Cidra Municipio, Puerto Rico",72041,11.490736019037906,6.090187222262694,24.52344527816226,12.408635050144484,7.068793861246691,12.209514096306549,4.458366722517666
"Coamo Municipio, Puerto Rico",72043,11.347874158206855,7.14142124836667,27.550507588702384,11.388079203940094,5.910141722786209,10.953362146949443,3.500351794150166
"Dorado Municipio, Puerto Rico",72051,8.647473622819575,7.250410900800594,20.72265521446371,11.49726949790573,6.900482477069084,15.813053390594348,5.683685912729971
