Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100
2009,"Aleutians East, AK",AK,2013,–
2009,"Aleutians West, AK",AK,2016,–
2009,"Anchorage, AK",AK,2020,74.6
2009,"Bethel, AK",AK,2050,–
2009,"Bristol Bay, AK",AK,2060,–
2009,"Denali, AK",AK,2068,–
2009,"Dillingham, AK",AK,2070,–
2009,"Fairbanks North Star, AK",AK,2090,57.1
2009,"Haines, AK",AK,2100,–
2009,"Hoonah-Angoon, AK",AK,2105,–
2009,"Juneau, AK",AK,2110,99.4
2009,"Kenai Peninsula, AK",AK,2122,103.1
2009,"Ketchikan Gateway, AK",AK,2130,136
2009,"Kodiak Island, AK",AK,2150,79.9
2009,"Lake and Peninsula, AK",AK,2164,–
2009,"Matanuska-Susitna, AK",AK,2170,85.9
2009,"Nome, AK",AK,2180,–
2009,"North Slope, AK",AK,2185,–
2009,"Northwest Arctic, AK",AK,2188,–
2009,"Petersburg, AK",AK,2195,116.7
2009,"Prince of Wales-Hyder, AK",AK,2198,–
2009,"Sitka, AK",AK,2220,–
2009,"Skagway, AK",AK,2230,–
2009,"Southeast Fairbanks, AK",AK,2240,–
2009,"Valdez-Cordova, AK",AK,2261,61.8
2009,"Wade Hampton, AK",AK,2270,–
2009,"Wrangell, AK",AK,2275,12
2009,"Yakutat, AK",AK,2282,–
2009,"Yukon-Koyukuk, AK",AK,2290,–
2009,"Autauga, AL",AL,1001,147.5
2009,"Baldwin, AL",AL,1003,143.9
2009,"Barbour, AL",AL,1005,88.5
2009,"Bibb, AL",AL,1007,109.6
2009,"Blount, AL",AL,1009,56.2
2009,"Bullock, AL",AL,1011,46.3
2009,"Butler, AL",AL,1013,121.2
2009,"Calhoun, AL",AL,1015,175.9
2009,"Chambers, AL",AL,1017,144.9
2009,"Cherokee, AL",AL,1019,162.5
2009,"Chilton, AL",AL,1021,116.9
2009,"Choctaw, AL",AL,1023,95.7
2009,"Clarke, AL",AL,1025,155.7
2009,"Clay, AL",AL,1027,137.4
2009,"Cleburne, AL",AL,1029,29.4
2009,"Coffee, AL",AL,1031,127
2009,"Colbert, AL",AL,1033,213.5
2009,"Conecuh, AL",AL,1035,199.5
2009,"Coosa, AL",AL,1037,48
2009,"Covington, AL",AL,1039,187.6
2009,"Crenshaw, AL",AL,1041,108.7
2009,"Cullman, AL",AL,1043,174.7
2009,"Dale, AL",AL,1045,71.2
2009,"Dallas, AL",AL,1047,112.8
2009,"DeKalb, AL",AL,1049,57.8
2009,"Elmore, AL",AL,1051,108.4
2009,"Escambia, AL",AL,1053,139.4
2009,"Etowah, AL",AL,1055,159.6
2009,"Fayette, AL",AL,1057,43.7
2009,"Franklin, AL",AL,1059,174.1
2009,"Geneva, AL",AL,1061,26.5
2009,"Greene, AL",AL,1063,60.1
2009,"Hale, AL",AL,1065,76.4
2009,"Henry, AL",AL,1067,42.9
2009,"Houston, AL",AL,1069,185.5
2009,"Jackson, AL",AL,1071,130
2009,"Jefferson, AL",AL,1073,134.3
2009,"Lamar, AL",AL,1075,62.5
2009,"Lauderdale, AL",AL,1077,145.3
2009,"Lawrence, AL",AL,1079,67
2009,"Lee, AL",AL,1081,73.8
2009,"Limestone, AL",AL,1083,74.6
2009,"Lowndes, AL",AL,1085,16.6
2009,"Macon, AL",AL,1087,57.1
2009,"Madison, AL",AL,1089,129
2009,"Marengo, AL",AL,1091,129.8
2009,"Marion, AL",AL,1093,273.3
2009,"Marshall, AL",AL,1095,209.4
2009,"Mobile, AL",AL,1097,150.3
2009,"Monroe, AL",AL,1099,106.1
2009,"Montgomery, AL",AL,1101,106.3
2009,"Morgan, AL",AL,1103,160.1
2009,"Perry, AL",AL,1105,–
2009,"Pickens, AL",AL,1107,114.3
2009,"Pike, AL",AL,1109,119.8
2009,"Randolph, AL",AL,1111,58.3
2009,"Russell, AL",AL,1113,157
2009,"St. Clair, AL",AL,1115,102
2009,"Shelby, AL",AL,1117,122.5
2009,"Sumter, AL",AL,1119,45.9
2009,"Talladega, AL",AL,1121,140.5
2009,"Tallapoosa, AL",AL,1123,95.3
2009,"Tuscaloosa, AL",AL,1125,115.6
2009,"Walker, AL",AL,1127,329.8
2009,"Washington, AL",AL,1129,40.2
2009,"Wilcox, AL",AL,1131,54.4
2009,"Winston, AL",AL,1133,128.4
2009,"Arkansas, AR",AR,5001,84
2009,"Ashley, AR",AR,5003,49.6
2009,"Baxter, AR",AR,5005,170.6
2009,"Benton, AR",AR,5007,96.5
2009,"Boone, AR",AR,5009,155.7
2009,"Bradley, AR",AR,5011,152
2009,"Calhoun, AR",AR,5013,110.2
2009,"Carroll, AR",AR,5015,65.1
2009,"Chicot, AR",AR,5017,–
2009,"Clark, AR",AR,5019,86.4
2009,"Clay, AR",AR,5021,57.8
2009,"Cleburne, AR",AR,5023,127.6
2009,"Cleveland, AR",AR,5025,–
2009,"Columbia, AR",AR,5027,121.4
2009,"Conway, AR",AR,5029,75.3
2009,"Craighead, AR",AR,5031,177.7
2009,"Crawford, AR",AR,5033,126.6
2009,"Crittenden, AR",AR,5035,97.1
2009,"Cross, AR",AR,5037,101.9
2009,"Dallas, AR",AR,5039,93.4
2009,"Desha, AR",AR,5041,130.7
2009,"Drew, AR",AR,5043,123.8
2009,"Faulkner, AR",AR,5045,107.5
2009,"Franklin, AR",AR,5047,57.3
2009,"Fulton, AR",AR,5049,65
2009,"Garland, AR",AR,5051,202.2
2009,"Grant, AR",AR,5053,31.9
2009,"Greene, AR",AR,5055,180.1
2009,"Hempstead, AR",AR,5057,128.5
2009,"Hot Spring, AR",AR,5059,122.5
2009,"Howard, AR",AR,5061,166
2009,"Independence, AR",AR,5063,192.9
2009,"Izard, AR",AR,5065,151.7
2009,"Jackson, AR",AR,5067,184.5
2009,"Jefferson, AR",AR,5069,88.9
2009,"Johnson, AR",AR,5071,32.9
2009,"Lafayette, AR",AR,5073,–
2009,"Lawrence, AR",AR,5075,37.5
2009,"Lee, AR",AR,5077,–
2009,"Lincoln, AR",AR,5079,35.3
2009,"Little River, AR",AR,5081,49
2009,"Logan, AR",AR,5083,53.1
2009,"Lonoke, AR",AR,5085,107.3
2009,"Madison, AR",AR,5087,28.9
2009,"Marion, AR",AR,5089,54
2009,"Miller, AR",AR,5091,79.5
2009,"Mississippi, AR",AR,5093,131.6
2009,"Monroe, AR",AR,5095,26.1
2009,"Montgomery, AR",AR,5097,90.1
2009,"Nevada, AR",AR,5099,–
2009,"Newton, AR",AR,5101,31.7
2009,"Ouachita, AR",AR,5103,111
2009,"Perry, AR",AR,5105,91.4
2009,"Phillips, AR",AR,5107,176.2
2009,"Pike, AR",AR,5109,–
