Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100
2007,"Aleutians East, AK",AK,2013,–
2007,"Aleutians West, AK",AK,2016,–
2007,"Anchorage, AK",AK,2020,75.5
2007,"Bethel, AK",AK,2050,–
2007,"Bristol Bay, AK",AK,2060,–
2007,"Denali, AK",AK,2068,–
2007,"Dillingham, AK",AK,2070,–
2007,"Fairbanks North Star, AK",AK,2090,58.3
2007,"Haines, AK",AK,2100,–
2007,"Hoonah-Angoon, AK",AK,2105,–
2007,"Juneau, AK",AK,2110,95.5
2007,"Kenai Peninsula, AK",AK,2122,91
2007,"Ketchikan Gateway, AK",AK,2130,135
2007,"Kodiak Island, AK",AK,2150,83.8
2007,"Lake and Peninsula, AK",AK,2164,–
2007,"Matanuska-Susitna, AK",AK,2170,88.3
2007,"Nome, AK",AK,2180,–
2007,"North Slope, AK",AK,2185,–
2007,"Northwest Arctic, AK",AK,2188,–
2007,"Petersburg, AK",AK,2195,89.3
2007,"Prince of Wales-Hyder, AK",AK,2198,–
2007,"Sitka, AK",AK,2220,–
2007,"Skagway, AK",AK,2230,–
2007,"Southeast Fairbanks, AK",AK,2240,–
2007,"Valdez-Cordova, AK",AK,2261,55
2007,"Wade Hampton, AK",AK,2270,–
2007,"Wrangell, AK",AK,2275,29
2007,"Yakutat, AK",AK,2282,–
2007,"Yukon-Koyukuk, AK",AK,2290,–
2007,"Autauga, AL",AL,1001,135.8
2007,"Baldwin, AL",AL,1003,133.2
2007,"Barbour, AL",AL,1005,72.7
2007,"Bibb, AL",AL,1007,116.1
2007,"Blount, AL",AL,1009,44.6
2007,"Bullock, AL",AL,1011,37.7
2007,"Butler, AL",AL,1013,102
2007,"Calhoun, AL",AL,1015,173.4
2007,"Chambers, AL",AL,1017,133.8
2007,"Cherokee, AL",AL,1019,137.5
2007,"Chilton, AL",AL,1021,111.9
2007,"Choctaw, AL",AL,1023,99.8
2007,"Clarke, AL",AL,1025,126.1
2007,"Clay, AL",AL,1027,118.6
2007,"Cleburne, AL",AL,1029,23.9
2007,"Coffee, AL",AL,1031,118.4
2007,"Colbert, AL",AL,1033,215.3
2007,"Conecuh, AL",AL,1035,156.9
2007,"Coosa, AL",AL,1037,32.7
2007,"Covington, AL",AL,1039,206.9
2007,"Crenshaw, AL",AL,1041,100.6
2007,"Cullman, AL",AL,1043,150.6
2007,"Dale, AL",AL,1045,61.5
2007,"Dallas, AL",AL,1047,84.6
2007,"DeKalb, AL",AL,1049,45.2
2007,"Elmore, AL",AL,1051,88.6
2007,"Escambia, AL",AL,1053,105.5
2007,"Etowah, AL",AL,1055,133.2
2007,"Fayette, AL",AL,1057,85.8
2007,"Franklin, AL",AL,1059,144.7
2007,"Geneva, AL",AL,1061,23.5
2007,"Greene, AL",AL,1063,40.7
2007,"Hale, AL",AL,1065,63.4
2007,"Henry, AL",AL,1067,39.3
2007,"Houston, AL",AL,1069,167.1
2007,"Jackson, AL",AL,1071,110.7
2007,"Jefferson, AL",AL,1073,123.7
2007,"Lamar, AL",AL,1075,52.1
2007,"Lauderdale, AL",AL,1077,132.4
2007,"Lawrence, AL",AL,1079,48.3
2007,"Lee, AL",AL,1081,72.6
2007,"Limestone, AL",AL,1083,59.3
2007,"Lowndes, AL",AL,1085,10.4
2007,"Macon, AL",AL,1087,55.9
2007,"Madison, AL",AL,1089,119.6
