Year,County,State,FIPS County Code,Opioid Prescribing Rater per 100
2016,"Aleutians East, AK",AK,2013,–
2016,"Aleutians West, AK",AK,2016,–
2016,"Anchorage, AK",AK,2020,66.3
2016,"Bethel, AK",AK,2050,–
2016,"Bristol Bay, AK",AK,2060,–
2016,"Denali, AK",AK,2068,–
2016,"Dillingham, AK",AK,2070,–
2016,"Fairbanks North Star, AK",AK,2090,48.4
2016,"Haines, AK",AK,2100,–
2016,"Hoonah-Angoon, AK",AK,2105,–
2016,"Juneau, AK",AK,2110,79.8
2016,"Kenai Peninsula, AK",AK,2122,97.9
2016,"Ketchikan Gateway, AK",AK,2130,91.5
2016,"Kodiak Island, AK",AK,2150,33.6
2016,"Lake and Peninsula, AK",AK,2164,–
2016,"Matanuska-Susitna, AK",AK,2170,76.4
2016,"Nome, AK",AK,2180,–
2016,"North Slope, AK",AK,2185,–
2016,"Northwest Arctic, AK",AK,2188,–
2016,"Petersburg, AK",AK,2195,71
2016,"Prince of Wales-Hyder, AK",AK,2198,56.4
2016,"Sitka, AK",AK,2220,9.5
2016,"Skagway, AK",AK,2230,–
2016,"Southeast Fairbanks, AK",AK,2240,–
2016,"Valdez-Cordova, AK",AK,2261,45
2016,"Wade Hampton, AK",AK,2270,–
2016,"Wrangell, AK",AK,2275,0.6
2016,"Yakutat, AK",AK,2282,–
2016,"Yukon-Koyukuk, AK",AK,2290,–
2016,"Autauga, AL",AL,1001,129.6
2016,"Baldwin, AL",AL,1003,123.8
2016,"Barbour, AL",AL,1005,92.7
2016,"Bibb, AL",AL,1007,97.2
2016,"Blount, AL",AL,1009,56.9
2016,"Bullock, AL",AL,1011,19.8
2016,"Butler, AL",AL,1013,135.4
2016,"Calhoun, AL",AL,1015,161
2016,"Chambers, AL",AL,1017,140.6
2016,"Cherokee, AL",AL,1019,157.7
2016,"Chilton, AL",AL,1021,120.4
2016,"Choctaw, AL",AL,1023,97.8
2016,"Clarke, AL",AL,1025,164.7
2016,"Clay, AL",AL,1027,133.7
2016,"Cleburne, AL",AL,1029,44.2
2016,"Coffee, AL",AL,1031,129.5
2016,"Colbert, AL",AL,1033,208.1
2016,"Conecuh, AL",AL,1035,93.9
2016,"Coosa, AL",AL,1037,25.4
2016,"Covington, AL",AL,1039,170.9
2016,"Crenshaw, AL",AL,1041,90.9
2016,"Cullman, AL",AL,1043,166.2
2016,"Dale, AL",AL,1045,78.7
2016,"Dallas, AL",AL,1047,117.8
2016,"DeKalb, AL",AL,1049,114.4
2016,"Elmore, AL",AL,1051,117.3
2016,"Escambia, AL",AL,1053,173.9
2016,"Etowah, AL",AL,1055,156.8
2016,"Fayette, AL",AL,1057,133.3
2016,"Franklin, AL",AL,1059,223.3
2016,"Geneva, AL",AL,1061,50.2
2016,"Greene, AL",AL,1063,79.8
2016,"Hale, AL",AL,1065,97.7
2016,"Henry, AL",AL,1067,30.7
2016,"Houston, AL",AL,1069,142.8
2016,"Jackson, AL",AL,1071,144.6
2016,"Jefferson, AL",AL,1073,116.7
2016,"Lamar, AL",AL,1075,104.7
2016,"Lauderdale, AL",AL,1077,127.5
2016,"Lawrence, AL",AL,1079,114.1
2016,"Lee, AL",AL,1081,64.5
2016,"Limestone, AL",AL,1083,76.5
2016,"Lowndes, AL",AL,1085,0.7
2016,"Macon, AL",AL,1087,60.1
2016,"Madison, AL",AL,1089,113.7
2016,"Marengo, AL",AL,1091,131.7
2016,"Marion, AL",AL,1093,182.1
2016,"Marshall, AL",AL,1095,191.1
2016,"Mobile, AL",AL,1097,133.5
2016,"Monroe, AL",AL,1099,135.7
2016,"Montgomery, AL",AL,1101,88
2016,"Morgan, AL",AL,1103,135.4
2016,"Perry, AL",AL,1105,3.6
2016,"Pickens, AL",AL,1107,81.5
2016,"Pike, AL",AL,1109,105.5
2016,"Randolph, AL",AL,1111,108.8
2016,"Russell, AL",AL,1113,110.6
2016,"St. Clair, AL",AL,1115,114.4
2016,"Shelby, AL",AL,1117,100.7
2016,"Sumter, AL",AL,1119,40.5
2016,"Talladega, AL",AL,1121,138.9
2016,"Tallapoosa, AL",AL,1123,108
2016,"Tuscaloosa, AL",AL,1125,111.2
2016,"Walker, AL",AL,1127,235.4
2016,"Washington, AL",AL,1129,44.3
2016,"Wilcox, AL",AL,1131,66.4
2016,"Winston, AL",AL,1133,172.5
2016,"Arkansas, AR",AR,5001,129.1
2016,"Ashley, AR",AR,5003,115.8
2016,"Baxter, AR",AR,5005,142.7
2016,"Benton, AR",AR,5007,87.8
2016,"Boone, AR",AR,5009,156.4
2016,"Bradley, AR",AR,5011,116.5
2016,"Calhoun, AR",AR,5013,83.6
2016,"Carroll, AR",AR,5015,89.2
2016,"Chicot, AR",AR,5017,77.7
2016,"Clark, AR",AR,5019,100.9
2016,"Clay, AR",AR,5021,134.6
2016,"Cleburne, AR",AR,5023,115.9
2016,"Cleveland, AR",AR,5025,1.1
2016,"Columbia, AR",AR,5027,106.6
2016,"Conway, AR",AR,5029,131.7
2016,"Craighead, AR",AR,5031,157.3
2016,"Crawford, AR",AR,5033,158
2016,"Crittenden, AR",AR,5035,108.7
2016,"Cross, AR",AR,5037,120.3
2016,"Dallas, AR",AR,5039,101.6
2016,"Desha, AR",AR,5041,143.8
2016,"Drew, AR",AR,5043,131.8
2016,"Faulkner, AR",AR,5045,97.9
2016,"Franklin, AR",AR,5047,22.2
2016,"Fulton, AR",AR,5049,116.7
2016,"Garland, AR",AR,5051,176.3
2016,"Grant, AR",AR,5053,77.5
2016,"Greene, AR",AR,5055,177.8
2016,"Hempstead, AR",AR,5057,115.7
2016,"Hot Spring, AR",AR,5059,105.3
2016,"Howard, AR",AR,5061,161.6
2016,"Independence, AR",AR,5063,159.8
2016,"Izard, AR",AR,5065,104
2016,"Jackson, AR",AR,5067,150.4
2016,"Jefferson, AR",AR,5069,108.6
2016,"Johnson, AR",AR,5071,127.4
2016,"Lafayette, AR",AR,5073,111.2
2016,"Lawrence, AR",AR,5075,37.5
2016,"Lee, AR",AR,5077,68.2
2016,"Lincoln, AR",AR,5079,67.6
2016,"Little River, AR",AR,5081,163.5
2016,"Logan, AR",AR,5083,41.2
2016,"Lonoke, AR",AR,5085,101.5
2016,"Madison, AR",AR,5087,79.3
