Year,County,State,FIPS County Code,Opioid Prescribing Rater per 100
2013,"Aleutians East, AK",AK,2013,–
2013,"Aleutians West, AK",AK,2016,–
2013,"Anchorage, AK",AK,2020,68.6
2013,"Bethel, AK",AK,2050,–
2013,"Bristol Bay, AK",AK,2060,–
2013,"Denali, AK",AK,2068,–
2013,"Dillingham, AK",AK,2070,–
2013,"Fairbanks North Star, AK",AK,2090,53.9
2013,"Haines, AK",AK,2100,–
2013,"Hoonah-Angoon, AK",AK,2105,–
2013,"Juneau, AK",AK,2110,90.2
2013,"Kenai Peninsula, AK",AK,2122,102.2
2013,"Ketchikan Gateway, AK",AK,2130,102.9
2013,"Kodiak Island, AK",AK,2150,41.7
2013,"Lake and Peninsula, AK",AK,2164,–
2013,"Matanuska-Susitna, AK",AK,2170,92.3
2013,"Nome, AK",AK,2180,–
2013,"North Slope, AK",AK,2185,–
2013,"Northwest Arctic, AK",AK,2188,–
2013,"Petersburg, AK",AK,2195,100.5
2013,"Prince of Wales-Hyder, AK",AK,2198,52.6
2013,"Sitka, AK",AK,2220,–
2013,"Skagway, AK",AK,2230,–
2013,"Southeast Fairbanks, AK",AK,2240,–
2013,"Valdez-Cordova, AK",AK,2261,60.2
2013,"Wade Hampton, AK",AK,2270,–
2013,"Wrangell, AK",AK,2275,–
2013,"Yakutat, AK",AK,2282,–
2013,"Yukon-Koyukuk, AK",AK,2290,–
2013,"Autauga, AL",AL,1001,166.7
2013,"Baldwin, AL",AL,1003,154.3
2013,"Barbour, AL",AL,1005,107.5
2013,"Bibb, AL",AL,1007,70.5
2013,"Blount, AL",AL,1009,65.9
2013,"Bullock, AL",AL,1011,41.2
2013,"Butler, AL",AL,1013,149.7
2013,"Calhoun, AL",AL,1015,188.9
2013,"Chambers, AL",AL,1017,169.7
2013,"Cherokee, AL",AL,1019,163.8
2013,"Chilton, AL",AL,1021,134.3
2013,"Choctaw, AL",AL,1023,125.9
2013,"Clarke, AL",AL,1025,189
2013,"Clay, AL",AL,1027,163.3
2013,"Cleburne, AL",AL,1029,41.8
2013,"Coffee, AL",AL,1031,147.2
2013,"Colbert, AL",AL,1033,229.9
2013,"Conecuh, AL",AL,1035,170.8
2013,"Coosa, AL",AL,1037,51.8
2013,"Covington, AL",AL,1039,219
2013,"Crenshaw, AL",AL,1041,111.8
2013,"Cullman, AL",AL,1043,190.4
2013,"Dale, AL",AL,1045,74
2013,"Dallas, AL",AL,1047,125.7
2013,"DeKalb, AL",AL,1049,123.6
2013,"Elmore, AL",AL,1051,132.2
2013,"Escambia, AL",AL,1053,164.2
2013,"Etowah, AL",AL,1055,199.1
2013,"Fayette, AL",AL,1057,150.9
2013,"Franklin, AL",AL,1059,237.6
2013,"Geneva, AL",AL,1061,44.3
2013,"Greene, AL",AL,1063,48
2013,"Hale, AL",AL,1065,102.7
2013,"Henry, AL",AL,1067,36.5
2013,"Houston, AL",AL,1069,179.8
2013,"Jackson, AL",AL,1071,140.5
2013,"Jefferson, AL",AL,1073,136.7
2013,"Lamar, AL",AL,1075,81.2
2013,"Lauderdale, AL",AL,1077,156.1
2013,"Lawrence, AL",AL,1079,130.5
2013,"Lee, AL",AL,1081,74.9
2013,"Limestone, AL",AL,1083,79.5
2013,"Lowndes, AL",AL,1085,9.6
2013,"Macon, AL",AL,1087,75.8
2013,"Madison, AL",AL,1089,131.8
2013,"Marengo, AL",AL,1091,147.1
2013,"Marion, AL",AL,1093,222
2013,"Marshall, AL",AL,1095,229.8
2013,"Mobile, AL",AL,1097,164.2
2013,"Monroe, AL",AL,1099,150.1
2013,"Montgomery, AL",AL,1101,112
2013,"Morgan, AL",AL,1103,159.9
2013,"Perry, AL",AL,1105,–
2013,"Pickens, AL",AL,1107,133
2013,"Pike, AL",AL,1109,117.5
2013,"Randolph, AL",AL,1111,128
2013,"Russell, AL",AL,1113,146
2013,"St. Clair, AL",AL,1115,117.8
2013,"Shelby, AL",AL,1117,119.4
2013,"Sumter, AL",AL,1119,50.1
2013,"Talladega, AL",AL,1121,167.5
2013,"Tallapoosa, AL",AL,1123,111.1
2013,"Tuscaloosa, AL",AL,1125,123.8
2013,"Walker, AL",AL,1127,317.1
2013,"Washington, AL",AL,1129,37.4
2013,"Wilcox, AL",AL,1131,58.2
2013,"Winston, AL",AL,1133,200.5
2013,"Arkansas, AR",AR,5001,83.7
2013,"Ashley, AR",AR,5003,101.2
2013,"Baxter, AR",AR,5005,155.6
2013,"Benton, AR",AR,5007,95.2
2013,"Boone, AR",AR,5009,167.8
2013,"Bradley, AR",AR,5011,150.4
2013,"Calhoun, AR",AR,5013,93.7
2013,"Carroll, AR",AR,5015,74.2
2013,"Chicot, AR",AR,5017,50.6
2013,"Clark, AR",AR,5019,117.5
2013,"Clay, AR",AR,5021,87.5
2013,"Cleburne, AR",AR,5023,122.9
2013,"Cleveland, AR",AR,5025,–
2013,"Columbia, AR",AR,5027,121.4
2013,"Conway, AR",AR,5029,95.8
2013,"Craighead, AR",AR,5031,161.9
2013,"Crawford, AR",AR,5033,174.3
2013,"Crittenden, AR",AR,5035,101.2
2013,"Cross, AR",AR,5037,107.7
2013,"Dallas, AR",AR,5039,110.8
2013,"Desha, AR",AR,5041,143.8
2013,"Drew, AR",AR,5043,121.1
2013,"Faulkner, AR",AR,5045,104
2013,"Franklin, AR",AR,5047,19
2013,"Fulton, AR",AR,5049,105.5
2013,"Garland, AR",AR,5051,200.3
2013,"Grant, AR",AR,5053,64.3
2013,"Greene, AR",AR,5055,184.9
2013,"Hempstead, AR",AR,5057,141.4
2013,"Hot Spring, AR",AR,5059,118.4
2013,"Howard, AR",AR,5061,173.6
2013,"Independence, AR",AR,5063,197
2013,"Izard, AR",AR,5065,99.6
2013,"Jackson, AR",AR,5067,163.2
2013,"Jefferson, AR",AR,5069,112.5
2013,"Johnson, AR",AR,5071,146.8
2013,"Lafayette, AR",AR,5073,–
2013,"Lawrence, AR",AR,5075,38
2013,"Lee, AR",AR,5077,34.9
2013,"Lincoln, AR",AR,5079,61.5
2013,"Little River, AR",AR,5081,159.9
2013,"Logan, AR",AR,5083,35.6
2013,"Lonoke, AR",AR,5085,113.5
