Year,County,State,FIPS County Code,Opioid Prescribing Rate per 100
2006,"Aleutians East, AK",AK,2013,–
2006,"Aleutians West, AK",AK,2016,–
2006,"Anchorage, AK",AK,2020,71.5
2006,"Bethel, AK",AK,2050,–
2006,"Bristol Bay, AK",AK,2060,–
2006,"Denali, AK",AK,2068,–
2006,"Dillingham, AK",AK,2070,–
2006,"Fairbanks North Star, AK",AK,2090,54.7
2006,"Haines, AK",AK,2100,–
2006,"Hoonah-Angoon, AK",AK,2105,–
2006,"Juneau, AK",AK,2110,95.3
2006,"Kenai Peninsula, AK",AK,2122,89.1
2006,"Ketchikan Gateway, AK",AK,2130,144.4
2006,"Kodiak Island, AK",AK,2150,69.4
2006,"Lake and Peninsula, AK",AK,2164,–
2006,"Matanuska-Susitna, AK",AK,2170,82.5
2006,"Nome, AK",AK,2180,–
2006,"North Slope, AK",AK,2185,–
2006,"Northwest Arctic, AK",AK,2188,–
2006,"Petersburg, AK",AK,2195,107.4
2006,"Prince of Wales-Hyder, AK",AK,2198,–
2006,"Sitka, AK",AK,2220,–
2006,"Skagway, AK",AK,2230,–
2006,"Southeast Fairbanks, AK",AK,2240,–
2006,"Valdez-Cordova, AK",AK,2261,46.5
2006,"Wade Hampton, AK",AK,2270,–
2006,"Wrangell, AK",AK,2275,–
2006,"Yakutat, AK",AK,2282,–
2006,"Yukon-Koyukuk, AK",AK,2290,–
2006,"Autauga, AL",AL,1001,134.8
2006,"Baldwin, AL",AL,1003,127.8
2006,"Barbour, AL",AL,1005,78.1
2006,"Bibb, AL",AL,1007,114.3
2006,"Blount, AL",AL,1009,40.3
2006,"Bullock, AL",AL,1011,34.6
2006,"Butler, AL",AL,1013,105.4
2006,"Calhoun, AL",AL,1015,165.7
2006,"Chambers, AL",AL,1017,120.4
2006,"Cherokee, AL",AL,1019,123.8
2006,"Chilton, AL",AL,1021,109
2006,"Choctaw, AL",AL,1023,60.2
2006,"Clarke, AL",AL,1025,120.6
2006,"Clay, AL",AL,1027,114
2006,"Cleburne, AL",AL,1029,12.6
2006,"Coffee, AL",AL,1031,118.6
2006,"Colbert, AL",AL,1033,196.8
2006,"Conecuh, AL",AL,1035,142.1
2006,"Coosa, AL",AL,1037,25.2
2006,"Covington, AL",AL,1039,202.1
2006,"Crenshaw, AL",AL,1041,93.7
2006,"Cullman, AL",AL,1043,140.6
2006,"Dale, AL",AL,1045,64
2006,"Dallas, AL",AL,1047,77.9
2006,"DeKalb, AL",AL,1049,50.6
2006,"Elmore, AL",AL,1051,83
2006,"Escambia, AL",AL,1053,116.7
2006,"Etowah, AL",AL,1055,126.2
2006,"Fayette, AL",AL,1057,78
2006,"Franklin, AL",AL,1059,160.3
2006,"Geneva, AL",AL,1061,30.2
2006,"Greene, AL",AL,1063,32.4
2006,"Hale, AL",AL,1065,59.3
2006,"Henry, AL",AL,1067,41
2006,"Houston, AL",AL,1069,157.6
2006,"Jackson, AL",AL,1071,108.9
2006,"Jefferson, AL",AL,1073,119.4
2006,"Lamar, AL",AL,1075,53
2006,"Lauderdale, AL",AL,1077,132.7
2006,"Lawrence, AL",AL,1079,45.9
2006,"Lee, AL",AL,1081,70.6
2006,"Limestone, AL",AL,1083,60
2006,"Lowndes, AL",AL,1085,9.1
2006,"Macon, AL",AL,1087,46.6
