STCOUNTYFP,County,Deaths,Population,Crude Rate,% of Total Deaths
39149,"Shelby County, OH",24,48759,49.2,0.10%
39151,"Stark County, OH",90,372542,24.2,0.20%
39153,"Summit County, OH",189,541228,34.9,0.40%
39155,"Trumbull County, OH",112,200380,55.9,0.20%
39157,"Tuscarawas County, OH",21,92297,22.8,0.00%
39159,"Union County, OH",10,56741,Unreliable,0.00%
39165,"Warren County, OH",80,228882,35,0.20%
39167,"Washington County, OH",10,60418,Unreliable,0.00%
39169,"Wayne County, OH",17,116038,Unreliable,0.00%
39173,"Wood County, OH",14,130492,Unreliable,0.00%
40027,"Cleveland County, OK",17,279641,Unreliable,0.00%
40109,"Oklahoma County, OK",72,787958,9.1,0.20%
40143,"Tulsa County, OK",80,646266,12.4,0.20%
40145,"Wagoner County, OK",12,78657,Unreliable,0.00%
41005,"Clackamas County, OR",30,412672,7.3,0.10%
41033,"Josephine County, OR",15,86352,Unreliable,0.00%
41039,"Lane County, OR",46,374748,12.3,0.10%
41047,"Marion County, OR",26,341286,7.6,0.10%
41051,"Multnomah County, OR",107,807555,13.2,0.20%
41067,"Washington County, OR",34,588957,5.8,0.10%
42003,"Allegheny County, PA",664,1223048,54.3,1.40%
42007,"Beaver County, PA",50,166140,30.1,0.10%
42011,"Berks County, PA",86,417854,20.6,0.20%
42013,"Blair County, PA",17,123457,Unreliable,0.00%
42017,"Bucks County, PA",114,628341,18.1,0.20%
42019,"Butler County, PA",81,187108,43.3,0.20%
42021,"Cambria County, PA",22,133054,16.5,0.00%
42025,"Carbon County, PA",10,63853,Unreliable,0.00%
42027,"Centre County, PA",11,162660,Unreliable,0.00%
42029,"Chester County, PA",65,519293,12.5,0.10%
42039,"Crawford County, PA",18,86159,Unreliable,0.00%
42041,"Cumberland County, PA",38,250066,15.2,0.10%
42043,"Dauphin County, PA",25,275710,9.1,0.10%
42045,"Delaware County, PA",171,564696,30.3,0.40%
42049,"Erie County, PA",95,274541,34.6,0.20%
42051,"Fayette County, PA",37,131504,28.1,0.10%
42055,"Franklin County, PA",21,154234,13.6,0.00%
42061,"Huntingdon County, PA",12,45491,Unreliable,0.00%
42063,"Indiana County, PA",16,84953,Unreliable,0.00%
42069,"Lackawanna County, PA",66,210761,31.3,0.10%
42071,"Lancaster County, PA",48,542903,8.8,0.10%
42073,"Lawrence County, PA",46,87069,52.8,0.10%
42077,"Lehigh County, PA",38,366494,10.4,0.10%
42079,"Luzerne County, PA",35,317343,11,0.10%
42085,"Mercer County, PA",19,111750,Unreliable,0.00%
42089,"Monroe County, PA",20,168046,11.9,0.00%
42091,"Montgomery County, PA",157,826075,19,0.30%
42095,"Northampton County, PA",86,303405,28.3,0.20%
42097,"Northumberland County, PA",20,92029,21.7,0.00%
42101,"Philadelphia County, PA",46,1580863,2.9,0.10%
42103,"Pike County, PA",16,55691,Unreliable,0.00%
42107,"Schuylkill County, PA",25,142569,17.5,0.10%
42111,"Somerset County, PA",13,74501,Unreliable,0.00%
42125,"Washington County, PA",101,207298,48.7,0.20%
42127,"Wayne County, PA",13,51205,Unreliable,0.00%
42129,"Westmoreland County, PA",21,352627,6,0.00%
42133,"York County, PA",72,446078,16.1,0.20%
44003,"Kent County, RI",36,163760,22,0.10%
44005,"Newport County, RI",23,83460,27.6,0.00%
44007,"Providence County, RI",182,637357,28.6,0.40%
44009,"Washington County, RI",25,126150,19.8,0.10%
45003,"Aiken County, SC",37,168179,22,0.10%
45007,"Anderson County, SC",23,198759,11.6,0.00%
45013,"Beaufort County, SC",21,186844,11.2,0.00%
45015,"Berkeley County, SC",34,217937,15.6,0.10%
45019,"Charleston County, SC",68,401438,16.9,0.10%
45035,"Dorchester County, SC",19,156456,Unreliable,0.00%
45041,"Florence County, SC",26,138566,18.8,0.10%
45043,"Georgetown County, SC",11,61607,Unreliable,0.00%
45045,"Greenville County, SC",70,506837,13.8,0.10%
45047,"Greenwood County, SC",14,70355,Unreliable,0.00%
45051,"Horry County, SC",65,333268,19.5,0.10%
45057,"Lancaster County, SC",28,92550,30.3,0.10%
45063,"Lexington County, SC",38,290642,13.1,0.10%
45073,"Oconee County, SC",19,77270,Unreliable,0.00%
45077,"Pickens County, SC",24,123479,19.4,0.10%
45079,"Richland County, SC",64,411592,15.5,0.10%
45083,"Spartanburg County, SC",59,306854,19.2,0.10%
45091,"York County, SC",45,266439,16.9,0.10%
47001,"Anderson County, TN",34,76257,44.6,0.10%
47009,"Blount County, TN",27,129929,20.8,0.10%
47011,"Bradley County, TN",13,105560,Unreliable,0.00%
47019,"Carter County, TN",16,56488,Unreliable,0.00%
47021,"Cheatham County, TN",24,40330,59.5,0.10%
47031,"Coffee County, TN",12,55034,Unreliable,0.00%
47037,"Davidson County, TN",182,691243,26.3,0.40%
47059,"Greene County, TN",17,68808,Unreliable,0.00%
47065,"Hamilton County, TN",60,361613,16.6,0.10%
47093,"Knox County, TN",202,461860,43.7,0.40%
47105,"Loudon County, TN",15,52152,Unreliable,0.00%
47119,"Maury County, TN",12,92163,Unreliable,0.00%
47125,"Montgomery County, TN",20,200182,10,0.00%
47145,"Roane County, TN",13,53036,Unreliable,0.00%
47147,"Robertson County, TN",15,70177,Unreliable,0.00%
47149,"Rutherford County, TN",49,317157,15.4,0.10%
47155,"Sevier County, TN",25,97638,25.6,0.10%
47157,"Shelby County, TN",160,936961,17.1,0.30%
47163,"Sullivan County, TN",31,157158,19.7,0.10%
47165,"Sumner County, TN",25,183545,13.6,0.10%
47167,"Tipton County, TN",12,61366,Unreliable,0.00%
47179,"Washington County, TN",25,127806,19.6,0.10%
47187,"Williamson County, TN",24,226257,10.6,0.10%
47189,"Wilson County, TN",25,136442,18.3,0.10%
48027,"Bell County, TX",20,347833,5.7,0.00%
48029,"Bexar County, TX",98,1958578,5,0.20%
48039,"Brazoria County, TX",12,362457,Unreliable,0.00%
48085,"Collin County, TX",38,969603,3.9,0.10%
48113,"Dallas County, TX",169,2618148,6.5,0.40%
48121,"Denton County, TX",42,836210,5,0.10%
48135,"Ector County, TX",12,157087,Unreliable,0.00%
48141,"El Paso County, TX",45,840410,5.4,0.10%
48157,"Fort Bend County, TX",20,764828,2.6,0.00%
48167,"Galveston County, TX",26,335036,7.8,0.10%
48201,"Harris County, TX",280,4652980,6,0.60%
48245,"Jefferson County, TX",11,256299,Unreliable,0.00%
48251,"Johnson County, TX",12,167301,Unreliable,0.00%
48303,"Lubbock County, TX",22,305225,7.2,0.00%
48339,"Montgomery County, TX",59,570934,10.3,0.10%
48355,"Nueces County, TX",38,361221,10.5,0.10%
48381,"Randall County, TX",10,134442,Unreliable,0.00%
48439,"Tarrant County, TX",110,2054475,5.4,0.20%
48453,"Travis County, TX",96,1226698,7.8,0.20%
48479,"Webb County, TX",27,274794,9.8,0.10%
48491,"Williamson County, TX",16,547545,Unreliable,0.00%
49005,"Cache County, UT",11,124438,Unreliable,0.00%
49011,"Davis County, UT",37,347637,10.6,0.10%
49035,"Salt Lake County, UT",189,1135649,16.6,0.40%
49045,"Tooele County, UT",13,67456,Unreliable,0.00%
49049,"Utah County, UT",82,606425,13.5,0.20%
49053,"Washington County, UT",27,165662,16.3,0.10%
49057,"Weber County, UT",42,251769,16.7,0.10%
50007,"Chittenden County, VT",31,162372,19.1,0.10%
50011,"Franklin County, VT",10,49025,Unreliable,0.00%
50021,"Rutland County, VT",11,59087,Unreliable,0.00%
50023,"Washington County, VT",12,58290,Unreliable,0.00%
50025,"Windham County, VT",16,42869,Unreliable,0.00%
50027,"Windsor County, VT",12,55100,Unreliable,0.00%
51013,"Arlington County, VA",16,234965,Unreliable,0.00%
51015,"Augusta County, VA",12,75144,Unreliable,0.00%
51019,"Bedford County, VA",13,77974,Unreliable,0.00%
51041,"Chesterfield County, VA",62,343599,18,0.10%
51047,"Culpeper County, VA",22,51282,42.9,0.00%
51059,"Fairfax County, VA",107,1148433,9.3,0.20%
51061,"Fauquier County, VA",16,69465,Unreliable,0.00%
51069,"Frederick County, VA",17,86484,Unreliable,0.00%
51085,"Hanover County, VA",20,105923,18.9,0.00%
51087,"Henrico County, VA",60,327898,18.3,0.10%
51099,"King George County, VA",10,26337,Unreliable,0.00%
51107,"Loudoun County, VA",24,398080,6,0.10%
51121,"Montgomery County, VA",11,98559,Unreliable,0.00%
51153,"Prince William County, VA",59,463023,12.7,0.10%
51161,"Roanoke County, VA",18,93730,Unreliable,0.00%
51177,"Spotsylvania County, VA",19,133033,Unreliable,0.00%
51179,"Stafford County, VA",16,146649,Unreliable,0.00%
51185,"Tazewell County, VA",11,41095,Unreliable,0.00%
51187,"Warren County, VA",16,39563,Unreliable,0.00%
51195,"Wise County, VA",13,38586,Unreliable,0.00%
51510,"Alexandria city, VA",12,160035,Unreliable,0.00%
51515,"Bedford city, VA",Missing,Missing,Missing,Missing
51550,"Chesapeake city, VA",36,240397,15,0.10%
51560,"Clifton Forge city, VA",Missing,Missing,Missing,Missing
51650,"Hampton city, VA",16,134669,Unreliable,0.00%
51670,"Hopewell city, VA",10,22621,Unreliable,0.00%
51700,"Newport News city, VA",26,179388,14.5,0.10%
51710,"Norfolk city, VA",52,244703,21.3,0.10%
51730,"Petersburg city, VA",10,31750,Unreliable,0.00%
51740,"Portsmouth city, VA",19,94572,Unreliable,0.00%
51760,"Richmond city, VA",68,227032,30,0.10%
51770,"Roanoke city, VA",39,99837,39.1,0.10%
51810,"Virginia Beach city, VA",56,450435,12.4,0.10%
53005,"Benton County, WA",20,198171,10.1,0.00%
53011,"Clark County, WA",37,474643,7.8,0.10%
53015,"Cowlitz County, WA",13,106910,Unreliable,0.00%
53027,"Grays Harbor County, WA",15,72697,Unreliable,0.00%
53029,"Island County, WA",12,83159,Unreliable,0.00%
53033,"King County, WA",247,2188649,11.3,0.50%
53035,"Kitsap County, WA",23,266414,8.6,0.00%
53053,"Pierce County, WA",101,876764,11.5,0.20%
53057,"Skagit County, WA",14,125619,Unreliable,0.00%
53061,"Snohomish County, WA",100,801633,12.5,0.20%
53063,"Spokane County, WA",30,506152,5.9,0.10%
53067,"Thurston County, WA",16,280588,Unreliable,0.00%
53071,"Walla Walla County, WA",11,60567,Unreliable,0.00%
53073,"Whatcom County, WA",14,221404,Unreliable,0.00%
53077,"Yakima County, WA",24,250193,9.6,0.10%
54003,"Berkeley County, WV",86,114920,74.8,0.20%
54005,"Boone County, WV",13,22349,Unreliable,0.00%
54011,"Cabell County, WV",135,94958,142.2,0.30%
54019,"Fayette County, WV",27,43521,62,0.10%
54027,"Hampshire County, WV",12,23471,Unreliable,0.00%
54029,"Hancock County, WV",12,29448,Unreliable,0.00%
54033,"Harrison County, WV",17,67811,Unreliable,0.00%
54037,"Jefferson County, WV",24,56338,42.6,0.10%
54039,"Kanawha County, WV",98,183293,53.5,0.20%
54043,"Lincoln County, WV",18,20825,Unreliable,0.00%
54045,"Logan County, WV",33,32925,100.2,0.10%
54047,"McDowell County, WV",10,18456,Unreliable,0.00%
54053,"Mason County, WV",15,26801,Unreliable,0.00%
54055,"Mercer County, WV",28,59753,46.9,0.10%
54059,"Mingo County, WV",16,24127,Unreliable,0.00%
54061,"Monongalia County, WV",28,105030,26.7,0.10%
54065,"Morgan County, WV",13,17686,Unreliable,0.00%
54069,"Ohio County, WV",15,42035,Unreliable,0.00%
54079,"Putnam County, WV",29,56792,51.1,0.10%
54081,"Raleigh County, WV",53,75022,70.6,0.10%
54099,"Wayne County, WV",47,40153,117.1,0.10%
54107,"Wood County, WV",15,85104,Unreliable,0.00%
55009,"Brown County, WI",30,262052,11.4,0.10%
55021,"Columbia County, WI",10,57248,Unreliable,0.00%
55025,"Dane County, WI",89,536416,16.6,0.20%
55027,"Dodge County, WI",15,87786,Unreliable,0.00%
55055,"Jefferson County, WI",18,84832,Unreliable,0.00%
55059,"Kenosha County, WI",46,168521,27.3,0.10%
55063,"La Crosse County, WI",19,118274,Unreliable,0.00%
55073,"Marathon County, WI",14,135732,Unreliable,0.00%
55079,"Milwaukee County, WI",305,952085,32,0.60%
55087,"Outagamie County, WI",18,186059,Unreliable,0.00%
55089,"Ozaukee County, WI",11,88429,Unreliable,0.00%
55101,"Racine County, WI",45,196071,23,0.10%
55105,"Rock County, WI",37,162309,22.8,0.10%
55117,"Sheboygan County, WI",18,115344,Unreliable,0.00%
55127,"Walworth County, WI",12,103082,Unreliable,0.00%
55131,"Washington County, WI",21,135101,15.5,0.00%
55133,"Waukesha County, WI",63,400621,15.7,0.10%
55139,"Winnebago County, WI",23,170414,13.5,0.00%
